chirp_channel,url,lyrics,style,audio_path,audio_seconds
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268733750784070/chirp.mp4?ex=6584148f&amp,"(Pre-Chorus)
Каждый день, когда я просыпаюсь рядом с тобой,
Понимаю, насколько счастлива я в этом мире.
Ты - мой камень опоры, мой лучший друг,
С тобой я всегда чувствую себя на высоте.

(Chorus)
Аличка, моя любовь,
Ты - мое счастье, мой уют.
За твою нежность и ласку,
Я благодарю каждый день.

(Verse 2)
Мы прошли вместе много испытаний,
И всегда ты был рядом, поддержкой моей.
Твоя улыбка освещает мои дни,
С тобой я чувствую, что побеждаю все трудности.",['рор'],audio/000000.wav,40.05
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268734388310026/chirp.mp4?ex=6584148f&amp,"(Pre-Chorus)
Каждый день, когда я просыпаюсь рядом с тобой,
Понимаю, насколько счастлива я в этом мире.
Ты - мой камень опоры, мой лучший друг,
С тобой я всегда чувствую себя на высоте.

(Chorus)
Аличка, моя любовь,
Ты - мое счастье, мой уют.
За твою нежность и ласку,
Я благодарю каждый день.

(Verse 2)
Мы прошли вместе много испытаний,
И всегда ты был рядом, поддержкой моей.
Твоя улыбка освещает мои дни,
С тобой я чувствую, что побеждаю все трудности.",['рор'],audio/000001.wav,40.05
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268738695868497/chirp.mp4?ex=65841490&amp,"[Verse]
Waking up, the sun's barely shining
Living alone, feeling the emptiness inside
Missing home, where I belong
But I gotta keep going, gotta stay strong

[Chorus]
Every day, I'll chase my dreams
Working hard, it's not as easy as it seems
Far away, from the ones I love
But I'll keep pushing, to rise above",['pop'],audio/000002.wav,29.69
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268739446636615/chirp.mp4?ex=65841490&amp,"[Verse]
Waking up, the sun's barely shining
Living alone, feeling the emptiness inside
Missing home, where I belong
But I gotta keep going, gotta stay strong

[Chorus]
Every day, I'll chase my dreams
Working hard, it's not as easy as it seems
Far away, from the ones I love
But I'll keep pushing, to rise above",['pop'],audio/000003.wav,30.05
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268743288635433/chirp.mp4?ex=65841491&amp,"[Verse]
In the land of Vrindavan, a love story was born
Krishna and Radha, their hearts forever torn
They danced in moonlight, their souls entwined
A divine connection, a love so kind

[Chorus]
Krishna and Radha, dancing hand in hand
Their love like a river, flowing across the land
Their feet moved in rhythm, their hearts beat as one
In the ecstasy of love, their union was begun",['random'],audio/000004.wav,40.05
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268743921963008/chirp.mp4?ex=65841492&amp,"[Verse]
In the land of Vrindavan, a love story was born
Krishna and Radha, their hearts forever torn
They danced in moonlight, their souls entwined
A divine connection, a love so kind

[Chorus]
Krishna and Radha, dancing hand in hand
Their love like a river, flowing across the land
Their feet moved in rhythm, their hearts beat as one
In the ecstasy of love, their union was begun",['random'],audio/000005.wav,31.89
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268825060790413/chirp.mp4?ex=658414a5&amp,"[Verse 1]
Happy birthday, Estelle Aka Buffy from Suresnes
Let's celebrate you're birthday with a raw energy
you're from Amiens, where the music's alive
We'll shake it up and make the walls revive

[Chorus]
You rock, raise your fists up high
Today, let's go wild and ride the snow
Happy birthday, Estelle rock Girl
Oh, let the rock spirit set us free

[Verse 2]
Happy birthday, Estelle Aka the zumba queen
Let's celebrate you're birthday with snowboarding day
you're from Amiens, But now you'r a parisien girl
We'll shake it up and make the walls revive

[Chorus]
You rock, raise your fists up high
Today, let's go wild and ride the snow
Happy birthday, Estelle rock Girl
Happy birthday Estelle rock girl",['Punkaa'],audio/000006.wav,40.01
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268825664753706/chirp.mp4?ex=658414a5&amp,"[Verse 1]
Happy birthday, Estelle Aka Buffy from Suresnes
Let's celebrate you're birthday with a raw energy
you're from Amiens, where the music's alive
We'll shake it up and make the walls revive

[Chorus]
You rock, raise your fists up high
Today, let's go wild and ride the snow
Happy birthday, Estelle rock Girl
Oh, let the rock spirit set us free

[Verse 2]
Happy birthday, Estelle Aka the zumba queen
Let's celebrate you're birthday with snowboarding day
you're from Amiens, But now you'r a parisien girl
We'll shake it up and make the walls revive

[Chorus]
You rock, raise your fists up high
Today, let's go wild and ride the snow
Happy birthday, Estelle rock Girl
Happy birthday Estelle rock girl",['Punkaa'],audio/000007.wav,39.93
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268834749612083/chirp.mp4?ex=658414a7&amp,"[Chorus]
Nari vindzané (ri vindzané), rissi soukoumané (chériyé)
Mchéwangou (wawé wangou) nari vindzané (za kwéli)
Ri vindzané, ri parané (mchéwangou ri vindzané eh-eh-eh)
Za kwéli ri parané (ri parané), wami na wawé (ri vindzané)",['sertanejo'],audio/000008.wav,28.73
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268835487817728/chirp.mp4?ex=658414a7&amp,"[Chorus]
Nari vindzané (ri vindzané), rissi soukoumané (chériyé)
Mchéwangou (wawé wangou) nari vindzané (za kwéli)
Ri vindzané, ri parané (mchéwangou ri vindzané eh-eh-eh)
Za kwéli ri parané (ri parané), wami na wawé (ri vindzané)",['sertanejo'],audio/000009.wav,33.26
chirp-beta-1,https://cdn.discordapp.com/attachments/1128313332273782784/1182268947937112114/chirp.mp4?ex=658414c2&amp,"(Verse 1)
In the halls of healing, where courage takes flight,
Muskan walks with purpose, in the neon-lit night.
BSc Nursing, the path she's chosen,
A brave soul, in a world that's frozen.

From stethoscopes to scrubs, in the ER's glow,
Najra Anwary shines, letting her strength show.
Patient whispers, heartbeat rhythms in sync,
She's the remedy when life's on the brink.

(Chorus)
Muskan, the nickname that echoes the halls,
A melody of courage, as the night-time calls.
Brave girl in the chaos, where angels tread,
Najra Anwary, stitching dreams, not thread.

(Verse 2)
A symphony of healing, a rap of the heart,
In the corridors of challenge, she plays her part.
Science and compassion, a potent blend,
She's a nurse, a hero, on whom we depend.",['rap'],audio/000010.wav,40.05
