Descarga,Lyric,Style
https://cdn.discordapp.com/attachments/1135903449314238464/1183646447732801627/chirp.mp4?ex=658917a8&amp,"LM es la empresa que cuida tu carro
Desde los paneles de seguridad hasta el lavado
Te ofrece un servicio de calidad y garantía
Un spa para autos que te da alegría

No importa si tu carro es nuevo o viejo
LM lo trata con respeto y esmero
Lo limpia, lo pule, lo repara y lo protege
Lo deja como nuevo, brillante y reluciente",['hip hop']
https://cdn.discordapp.com/attachments/1135903449314238464/1183646448374534154/chirp.mp4?ex=658917a8&amp,"LM es la empresa que cuida tu carro
Desde los paneles de seguridad hasta el lavado
Te ofrece un servicio de calidad y garantía
Un spa para autos que te da alegría

No importa si tu carro es nuevo o viejo
LM lo trata con respeto y esmero
Lo limpia, lo pule, lo repara y lo protege
Lo deja como nuevo, brillante y reluciente",['hip hop']
https://cdn.discordapp.com/attachments/1135903449314238464/1183646733092278343/chirp.mp4?ex=658917ec&amp,"Oh, there's a chubby seal with a zestful appeal,
Wiggling on the shore, she's got that jiggle galore.
Loves her chili so hot, in a big bubbling pot,
Lil' seal, Lil' seal, round, silky, thousand-kissed seal!","['Soft Rock</span><span>, female vocal']"
https://cdn.discordapp.com/attachments/1135903449314238464/1183646733499121664/chirp.mp4?ex=658917ec&amp,"Oh, there's a chubby seal with a zestful appeal,
Wiggling on the shore, she's got that jiggle galore.
Loves her chili so hot, in a big bubbling pot,
Lil' seal, Lil' seal, round, silky, thousand-kissed seal!","['Soft Rock</span><span>, female vocal']"
https://cdn.discordapp.com/attachments/1135903449314238464/1183648566162493540/chirp.mp4?ex=658919a1&amp,"(Verse 1)
""I'm on the subway now,"" 我现在坐地铁，
Learning English on the go, 一边走一边学。
""I'm watching a movie,"" 正看着电影，
""I'm eating dinner,"" 正吃晚饭，
Every word, a new window. 每个词都是新天地。","['fast song </span><span>, easy remeber song </span><span>, man </span><span>, chinese']"
https://cdn.discordapp.com/attachments/1135903449314238464/1183648566716149810/chirp.mp4?ex=658919a1&amp,"(Verse 1)
""I'm on the subway now,"" 我现在坐地铁，
Learning English on the go, 一边走一边学。
""I'm watching a movie,"" 正看着电影，
""I'm eating dinner,"" 正吃晚饭，
Every word, a new window. 每个词都是新天地。","['fast song </span><span>, easy remeber song </span><span>, man </span><span>, chinese']"
https://cdn.discordapp.com/attachments/1135903449314238464/1183648949358313513/chirp.mp4?ex=658919fc&amp,"(Verse 1)
""I'm on the subway now,"" 我现在坐地铁，
Learning English on the go, 一边走一边学。
""I'm watching a movie,"" 正看着电影，
""I'm eating dinner,"" 正吃晚饭，
Every word, a new window. 每个词都是新天地。","['fast song </span><span>, easy remeber song </span><span>, man </span><span>, chinese']"
https://cdn.discordapp.com/attachments/1135903449314238464/1183649243605504140/chirp.mp4?ex=65891a42&amp,"(Chorus)
Life in motion, words in flow,
日常生活，流畅的话语，
""I'm"" plus verb, let's learn and grow.
“我正在”加上动词，学习中成长。","['fast song </span><span>, easy remeber song </span><span>, man </span><span>, chinese']"
https://cdn.discordapp.com/attachments/1135903449314238464/1183649244075262014/chirp.mp4?ex=65891a42&amp,"(Chorus)
Life in motion, words in flow,
日常生活，流畅的话语，
""I'm"" plus verb, let's learn and grow.
“我正在”加上动词，学习中成长。",['drill']
https://cdn.discordapp.com/attachments/1135903449314238464/1183649644371247104/chirp.mp4?ex=65891aa2&amp,"He was a little man, Pirouette Peanut, He was a little man, Who had a funny house Who had a funny His house is made of cardboard, Pirouette Peanut, His house is made of cardboard, The stairs are made of paper The stairs are made of paper If you want to go up there, Pirouette Peanut, If you want to go up there You will break the tip of your nose You will break the tip of your nose The postman got in there, Pirouette Peanut, The postman got in there, He broke the tip of his nose He broke the tip of his nose",['drill']
https://cdn.discordapp.com/attachments/1135903449314238464/1183649644950073445/chirp.mp4?ex=65891aa2&amp,"He was a little man, Pirouette Peanut, He was a little man, Who had a funny house Who had a funny His house is made of cardboard, Pirouette Peanut, His house is made of cardboard, The stairs are made of paper The stairs are made of paper If you want to go up there, Pirouette Peanut, If you want to go up there You will break the tip of your nose You will break the tip of your nose The postman got in there, Pirouette Peanut, The postman got in there, He broke the tip of his nose He broke the tip of his nose",['drill']
https://cdn.discordapp.com/attachments/1135903449314238464/1183650270593433692/chirp.mp4?ex=65891b37&amp,"He was a little man, Pirouette Peanut, He was a little man, Who had a funny house Who had a funny His house is made of cardboard, Pirouette Peanut, His house is made of cardboard, The stairs are made of paper The stairs are made of paper If you want to go up there, Pirouette Peanut, If you want to go up there You will break the tip of your nose You will break the tip of your nose The postman got in there, Pirouette Peanut, The postman got in there, He broke the tip of his nose He broke the tip of his nose",['trap']
https://cdn.discordapp.com/attachments/1135903449314238464/1183650271142871050/chirp.mp4?ex=65891b37&amp,"He was a little man, Pirouette Peanut, He was a little man, Who had a funny house Who had a funny His house is made of cardboard, Pirouette Peanut, His house is made of cardboard, The stairs are made of paper The stairs are made of paper If you want to go up there, Pirouette Peanut, If you want to go up there You will break the tip of your nose You will break the tip of your nose The postman got in there, Pirouette Peanut, The postman got in there, He broke the tip of his nose He broke the tip of his nose",['trap']
https://cdn.discordapp.com/attachments/1135903449314238464/1183650298804306000/chirp.mp4?ex=65891b3e&amp,"牛奶的味道，如丝滑甜蜜舞蹈，
唇齿间舞动，顷刻间心扉敞开。
细腻滋味，如诗篇编织，
鲜奶口感，是爱意的旋律。",['Chinese pop']
